"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
'1,534,600'	(('CD', 1.0),)
'1,600'	(('CD', 1.0),)
'1,616,000'	(('CD', 1.0),)
'1,640'	(('CD', 1.0),)
'1,640,000'	(('CD', 1.0),)
'1,642'	(('CD', 1.0),)
'1,647'	(('CD', 1.0),)
'1,656,870'	(('CD', 1.0),)
'1,657,736'	(('CD', 1.0),)
'1,680'	(('CD', 1.0),)
'1,685'	(('CD', 1.0),)
'1,695,000'	(('CD', 1.0),)
'1,700'	(('CD', 1.0),)
'1,716'	(('CD', 1.0),)
'1,730'	(('CD', 1.0),)
'1,735'	(('CD', 1.0),)
'1,745,000'	(('CD', 1.0),)
'1,749,000'	(('CD', 1.0),)
'1,750'	(('CD', 1.0),)
'1,770'	(('CD', 1.0),)
'1,774,326'	(('CD', 1.0),)
'1,784,400'	(('CD', 1.0),)
'1,800'	(('CD', 1.0),)
'1,800-a-year'	(('JJ', 1.0),)
'1,802,000'	(('CD', 1.0),)
'1,809,300'	(('CD', 1.0),)
'1,810,700'	(('CD', 1.0),)
'1,816,000'	(('CD', 1.0),)
'1,826,596'	(('CD', 1.0),)
'1,828,000'	(('CD', 1.0),)
'1,838,200'	(('CD', 1.0),)
'1,843,000'	(('CD', 1.0),)
'1,848,000'	(('CD', 1.0),)
'1,850'	(('CD', 1.0),)
'1,853,735'	(('CD', 1.0),)
'1,859'	(('CD', 1.0),)
'1,878-page'	(('JJ', 1.0),)
'1,892'	(('CD', 1.0),)
'1,900'	(('CD', 1.0),)
'1,908'	(('CD', 1.0),)
'1,920'	(('CD', 1.0),)
'1,930'	(('CD', 1.0),)
'1,977'	(('CD', 1.0),)
'1,979,000'	(('CD', 1.0),)
'1,980'	(('CD', 1.0),)
'1-2-3'	(('NNP', 0.8), ('JJ', 0.2))
'1-800-453-9000'	(('CD', 1.0),)
'1-for-10'	(('JJ', 1.0),)
'1-million-plus'	(('JJ', 1.0),)
'1-to-1'	(('JJ', 1.0),)
'1.'	(('CD', 1.0),)
'1.0'	(('CD', 1.0),)
'1.01'	(('CD', 1.0),)
'1.011'	(('CD', 1.0),)
'1.02'	(('CD', 1.0),)
'1.03'	(('CD', 1.0),)
'1.04'	(('CD', 1.0),)
'1.045'	(('CD', 1.0),)
'1.05'	(('CD', 1.0),)
'1.06'	(('CD', 1.0),)
'1.07'	(('CD', 1.0),)
'1.08'	(('CD', 1.0),)
'1.09'	(('CD', 1.0),)
'1.1'	(('CD', 1.0),)
'1.10'	(('CD', 1.0),)
'1.11'	(('CD', 1.0),)
'1.12'	(('CD', 1.0),)
'1.125'	(('CD', 1.0),)
'1.1270'	(('CD', 1.0),)
'1.1280'	(('CD', 1.0),)
'1.13'	(('CD', 1.0),)
'1.14'	(('CD', 1.0),)
'1.143'	(('CD', 1.0),)
'1.15'	(('CD', 1.0),)
'1.1510'	(('CD', 1.0),)
'1.1580'	(('CD', 1.0),)
'1.16'	(('CD', 1.0),)
'1.168'	(('CD', 1.0),)
'1.17'	(('CD', 1.0),)
'1.175'	(('CD', 1.0),)
'1.18'	(('CD', 1.0),)
'1.19'	(('CD', 1.0),)
'1.1960'	(('CD', 1.0),)
'1.2'	(('CD', 1.0),)
'1.20'	(('CD', 1.0),)
'1.21'	(('CD', 1.0),)
'1.22'	(('CD', 1.0),)
'1.23'	(('CD', 1.0),)
'1.23-a-pound'	(('JJ', 1.0),)
'1.2345'	(('CD', 1.0),)
'1.24'	(('CD', 1.0),)
'1.25'	(('CD', 1.0),)
'1.255'	(('CD', 1.0),)
'1.26'	(('CD', 1.0),)
'1.2645'	(('CD', 1.0),)
'1.27'	(('CD', 1.0),)
'1.2795'	(('CD', 1.0),)
'1.28'	(('CD', 1.0),)
'1.29'	(('CD', 1.0),)
'1.3'	(('CD', 1.0),)
'1.30'	(('CD', 1.0),)
'1.31'	(('CD', 1.0),)
'1.32'	(('CD', 1.0),)
'1.34'	(('CD', 1.0),)
'1.342'	(('CD', 1.0),)
'1.35'	(('CD', 1.0),)
'1.36'	(('CD', 1.0),)
'1.37'	(('CD', 1.0),)
'1.375'	(('CD', 1.0),)
'1.38'	(('CD', 1.0),)
'1.388'	(('CD', 1.0),)
'1.39'	(('CD', 1.0),)
'1.4'	(('CD', 1.0),)
'1.40'	(('CD', 1.0),)
'1.41'	(('CD', 1.0),)
'1.42'	(('CD', 1.0),)
'1.43'	(('CD', 1.0),)
'1.439'	(('CD', 1.0),)
'1.44'	(('CD', 1.0),)
'1.45'	(('CD', 1.0),)
'1.46'	(('CD', 1.0),)
'1.465'	(('CD', 1.0),)
'1.47'	(('CD', 1.0),)
'1.48'	(('CD', 1.0),)
'1.49'	(('CD', 1.0),)
'1.5'	(('CD', 1.0),)
'1.5-mile'	(('CD', 1.0),)
'1.50'	(('CD', 1.0),)
'1.51'	(('CD', 1.0),)
'1.52'	(('CD', 1.0),)
'1.53'	(('CD', 1.0),)
'1.54'	(('CD', 1.0),)
'1.55'	(('CD', 1.0),)
'1.5500'	(('CD', 1.0),)
'1.56'	(('CD', 1.0),)
'1.57'	(('CD', 1.0),)
'1.5753'	(('CD', 1.0),)
'1.5765'	(('CD', 1.0),)
'1.5775'	(('CD', 1.0),)
'1.5795'	(('CD', 1.0),)
'1.58'	(('CD', 1.0),)
'1.5805'	(('CD', 1.0),)
'1.5820'	(('CD', 1.0),)
'1.5825'	(('CD', 1.0),)
'1.5885'	(('CD', 1.0),)
'1.5890'	(('CD', 1.0),)
'1.59'	(('CD', 1.0),)
'1.5920'	(('CD', 1.0),)
'1.5930'	(('CD', 1.0),)
'1.5940'	(('CD', 1.0),)
'1.5990'	(('CD', 1.0),)
'1.6'	(('CD', 1.0),)
'1.6-liter'	(('JJ', 1.0),)
'1.60'	(('CD', 1.0),)
'1.6030'	(('CD', 1.0),)
'1.6055'	(('CD', 1.0),)
'1.61'	(('CD', 1.0),)
'1.6143'	(('CD', 1.0),)
'1.6145'	(('CD', 1.0),)
'1.62'	(('CD', 1.0),)
'1.625'	(('CD', 1.0),)
'1.63'	(('CD', 1.0),)
'1.64'	(('CD', 1.0),)
'1.65'	(('CD', 1.0),)
'1.66'	(('CD', 1.0),)
'1.67'	(('CD', 1.0),)
'1.68'	(('CD', 1.0),)
'1.69'	(('CD', 1.0),)
'1.7'	(('CD', 1.0),)
'1.70'	(('CD', 1.0),)
'1.71'	(('CD', 1.0),)
'1.72'	(('CD', 1.0),)
'1.73'	(('CD', 1.0),)
'1.74'	(('CD', 1.0),)
'1.75'	(('CD', 1.0),)
'1.76'	(('CD', 1.0),)
'1.7600'	(('CD', 1.0),)
'1.77'	(('CD', 1.0),)
'1.78'	(('CD', 1.0),)
'1.79'	(('CD', 1.0),)
'1.8'	(('CD', 1.0),)
'1.80'	(('CD', 1.0),)
'1.81'	(('CD', 1.0),)
'1.82'	(('CD', 1.0),)
'1.8200'	(('CD', 1.0),)
'1.83'	(('CD', 1.0),)
'1.8300'	(('CD', 1.0),)
'1.8340'	(('CD', 1.0),)
'1.8353'	(('CD', 1.0),)
'1.8355'	(('CD', 1.0),)
'1.84'	(('CD', 1.0),)
'1.8400'	(('CD', 1.0),)
'1.8410'	(('CD', 1.0),)
'1.8415'	(('CD', 1.0),)
'1.8435'	(('CD', 1.0),)
'1.8470'	(('CD', 1.0),)
'1.8485'	(('CD', 1.0),)
'1.85'	(('CD', 1.0),)
'1.8578'	(('CD', 1.0),)
'1.86'	(('CD', 1.0),)
'1.8667'	(('CD', 1.0),)
'1.8685'	(('CD', 1.0),)
'1.8690'	(('CD', 1.0),)
'1.87'	(('CD', 1.0),)
'1.875'	(('CD', 1.0),)
'1.88'	(('CD', 1.0),)
'1.89'	(('CD', 1.0),)
'1.9'	(('CD', 1.0),)
'1.90'	(('CD', 1.0),)
'1.9000'	(('CD', 1.0),)
'1.91'	(('CD', 1.0),)
'1.92'	(('CD', 1.0),)
'1.93'	(('CD', 1.0),)
'1.9375'	(('CD', 1.0),)
'1.94'	(('CD', 1.0),)
'1.95'	(('CD', 1.0),)
'1.96'	(('CD', 1.0),)
'1.97'	(('CD', 1.0),)
'1.98'	(('CD', 1.0),)
'1.99'	(('CD', 1.0),)
'10'	(('CD', 1.0),)
'10,000'	(('CD', 1.0),)
'10,000-circulation'	(('JJ', 1.0),)
'10,300'	(('CD', 1.0),)
'10,450,000'	(('CD', 1.0),)
'10,674,500'	(('CD', 1.0),)
'10,873'	(('CD', 1.0),)
'10-11'	(('CD', 1.0),)
'10-2'	(('CD', 1.0),)
'10-a-share'	(('JJ', 1.0),)
'10-cent-a-share'	(('JJ', 1.0),)
'10-day'	(('JJ', 1.0),)
'10-fold'	(('JJ', 1.0),)
'10-gallon'	(('JJ', 1.0),)
'10-member'	(('JJ', 1.0),)
'10-month'	(('JJ', 1.0),)
'10-month-long'	(('JJ', 1.0),)
'10-point'	(('JJ', 1.0),)
'10-square-mile'	(('JJ', 1.0),)
'10-to-1'	(('JJ', 1.0),)
'10-week'	(('JJ', 1.0),)
'10-year'	(('JJ', 1.0),)
'10-year-old'	(('JJ', 1.0),)
'10.01'	(('CD', 1.0),)
'10.03'	(('CD', 1.0),)
'10.05'	(('CD', 1.0),)
'10.08'	(('CD', 1.0),)
'10.09'	(('CD', 1.0),)
'10.1'	(('CD', 1.0),)
'10.11'	(('CD', 1.0),)
'10.125'	(('CD', 1.0),)
'10.13'	(('CD', 1.0),)
'10.14'	(('CD', 1.0),)
'10.16'	(('CD', 1.0),)
'10.17'	(('CD', 1.0),)
'10.2'	(('CD', 1.0),)
'10.3'	(('CD', 1.0),)
'10.33'	(('CD', 1.0),)
'10.35'	(('CD', 1.0),)
'10.37'	(('CD', 1.0),)
'10.375'	(('CD', 1.0),)
'10.38'	(('CD', 1.0),)
'10.4'	(('CD', 1.0),)
'10.40'	(('CD', 1.0),)
'10.43'	(('CD', 1.0),)
'10.44'	(('CD', 1.0),)
'10.48'	(('CD', 1.0),)
'10.485'	(('CD', 1.0),)
'10.5'	(('CD', 1.0),)
'10.50'	(('CD', 1.0),)
'10.5625'	(('CD', 1.0),)
'10.59'	(('CD', 1.0),)
'10.6'	(('CD', 1.0),)
'10.62'	(('CD', 1.0),)
'10.625'	(('CD', 1.0),)
'10.66'	(('CD', 1.0),)
'10.7'	(('CD', 1.0),)
'10.75'	(('CD', 1.0),)
'10.77'	(('CD', 1.0),)
'10.78'	(('CD', 1.0),)
'10.8'	(('CD', 1.0),)
'10.83'	(('CD', 1.0),)
'10.86'	(('CD', 1.0),)
'10.875'	(('CD', 1.0),)
'10.9'	(('CD', 1.0),)
'10.93'	(('CD', 1.0),)
'10.95'	(('CD', 1.0),)
'10.958'	(('CD', 1.0),)
'10.98'	(('CD', 1.0),)
'100'	(('CD', 1.0),)
'100,000'	(('CD', 1.0),)
'100,000-guest'	(('JJ', 1.0),)
'100-acre'	(('JJ', 1.0),)
'100-foot-long'	(('JJ', 1.0),)
'100-member'	(('JJ', 1.0),)
'100-mile'	(('JJ', 1.0),)
'100-share'	(('JJ', 0.875), ('NNP', 0.125))
'100-stock'	(('JJ', 0.5), ('CD', 0.5))
'100.2'	(('CD', 1.0),)
'100.4'	(('CD', 1.0),)
'100.625'	(('CD', 1.0),)
'100.8'	(('CD', 1.0),)
'1000'	(('CD', 1.0),)
'100th'	(('JJ', 1.0),)
'101'	(('CD', 1.0),)
'101,000'	(('CD', 1.0),)
'101,250'	(('CD', 1.0),)
'101-year-old'	(('JJ', 1.0),)
'101.225'	(('CD', 1.0),)
'101.4'	(('CD', 1.0),)
'101.45'	(('CD', 1.0),)
'101.5'	(('CD', 1.0),)
'101.60'	(('CD', 1.0),)
'101.7'	(('CD', 1.0),)
'101.75'	(('CD', 1.0),)
'101.80'	(('CD', 1.0),)
'101.90'	(('CD', 1.0),)
'101.95'	(('CD', 1.0),)
'101.98'	(('CD', 1.0),)
'1017.69'	(('CD', 1.0),)
'102'	(('CD', 1.0),)
'102.01'	(('CD', 1.0),)
'102.1'	(('CD', 1.0),)
'102.25'	(('CD', 1.0),)
'102.5'	(('CD', 1.0),)
'102.625'	(('CD', 1.0),)
'103'	(('CD', 1.0),)
'103,000'	(('CD', 1.0),)
'103-nation'	(('JJ', 1.0),)
'103.98'	(('CD', 1.0),)
'104'	(('CD', 1.0),)
'104.79'	(('CD', 1.0),)
'104.8'	(('CD', 1.0),)
'105'	(('CD', 1.0),)
'105,000'	(('CD', 1.0),)
'105.2'	(('CD', 1.0),)
'105.39'	(('CD', 1.0),)
'105.4'	(('CD', 1.0),)
'106'	(('CD', 1.0),)
'106,100'	(('CD', 1.0),)
'106.2'	(('CD', 1.0),)
'106.6'	(('CD', 1.0),)
'106.7'	(('CD', 1.0),)
'107'	(('CD', 0.9167), ('NNP', 0.0833))
'107,100'	(('CD', 1.0),)
'107.50'	(('CD', 1.0),)
'107.87'	(('CD', 1.0),)
'107.9'	(('CD', 1.0),)
'108'	(('CD', 1.0),)
'108-year-old'	(('JJ', 1.0),)
'108.2'	(('CD', 1.0),)
'108.28'	(('CD', 1.0),)
'108.3'	(('CD', 1.0),)
'108.4'	(('CD', 1.0),)
'108.625'	(('CD', 1.0),)
'108.8'	(('CD', 1.0),)
'109'	(('CD', 1.0),)
'109,000'	(('CD', 1.0),)
'109.25'	(('CD', 1.0),)
'109.50'	(('CD', 1.0),)
'109.66'	(('CD', 1.0),)
'109.85'	(('CD', 1.0),)
'1099'	(('CD', 1.0),)
'10:08'	(('CD', 1.0),)
'10:10'	(('CD', 1.0),)
'10:30'	(('CD', 1.0),)
'10:33'	(('CD', 1.0),)
'10:40'	(('CD', 1.0),)
'10:45'	(('CD', 1.0),)
'10\\/32'	(('CD', 1.0),)
'10th'	(('JJ', 1.0),)
'11'	(('CD', 0.9912), ('NNP', 0.0088))
'11,000'	(('CD', 1.0),)
'11,429,243'	(('CD', 1.0),)
'11,450'	(('CD', 1.0),)
'11,580'	(('CD', 1.0),)
'11,586'	(('CD', 1.0),)
'11,742,368'	(('CD', 1.0),)
'11,775,000'	(('CD', 1.0),)
'11,795'	(('CD', 1.0),)
'11,820,000'	(('CD', 1.0),)
'11-2'	(('CD', 1.0),)
'11-a-share'	(('JJ', 1.0),)
'11-class'	(('JJ', 1.0),)
'11-member'	(('JJ', 1.0),)
'11-point'	(('JJ', 1.0),)
'11-week'	(('JJ', 1.0),)
'11-year'	(('JJ', 1.0),)
'11.0'	(('CD', 1.0),)
'11.01'	(('CD', 1.0),)
'11.04'	(('CD', 1.0),)
'11.07'	(('CD', 1.0),)
'11.08'	(('CD', 1.0),)
'11.1'	(('CD', 1.0),)
'11.11'	(('CD', 1.0),)
'11.125'	(('CD', 1.0),)
'11.13'	(('CD', 1.0),)
'11.2'	(('CD', 1.0),)
'11.25'	(('CD', 1.0),)
'11.3'	(('CD', 1.0),)
'11.38'	(('CD', 1.0),)
'11.4'	(('CD', 1.0),)
'11.41'	(('CD', 1.0),)
'11.44'	(('CD', 1.0),)
'11.5'	(('CD', 1.0),)
'11.53'	(('CD', 1.0),)
'11.56'	(('CD', 1.0),)
'11.57'	(('CD', 1.0),)
'11.6'	(('CD', 1.0),)
'11.60'	(('CD', 1.0),)
'11.625'	(('CD', 1.0),)
'11.66'	(('CD', 1.0),)
'11.7'	(('CD', 1.0),)
'11.71'	(('CD', 1.0),)
'11.75-a-share'	(('JJ', 1.0),)
'11.79'	(('CD', 1.0),)
'11.8'	(('CD', 1.0),)
'11.80'	(('CD', 1.0),)
'11.88'	(('CD', 1.0),)
'11.9'	(('CD', 1.0),)
'11.91'	(('CD', 1.0),)
'11.95'	(('CD', 1.0),)
'110'	(('CD', 1.0),)
'110,000'	(('CD', 1.0),)
'110-lawyer'	(('JJ', 1.0),)
'110-story'	(('JJ', 1.0),)
'110.1'	(('CD', 1.0),)
'110.4'	(('CD', 1.0),)
'110.6'	(('CD', 1.0),)
'110.625'	(('CD', 1.0),)
'110.9'	(('CD', 1.0),)
'111'	(('CD', 1.0),)
'111,000'	(('CD', 1.0),)
'111.2'	(('CD', 1.0),)
'111.48'	(('CD', 1.0),)
'111.9'	(('CD', 1.0),)
'112'	(('CD', 1.0),)
'112,000'	(('CD', 1.0),)
'112,383'	(('CD', 1.0),)
'112.16'	(('CD', 1.0),)
'112.2'	(('CD', 1.0),)
'112.5'	(('CD', 1.0),)
'112.625'	(('CD', 1.0),)
'112.9'	(('CD', 1.0),)
'113'	(('CD', 1.0),)
'114'	(('CD', 1.0),)
'114.2'	(('CD', 1.0),)
'114.3'	(('CD', 1.0),)
'114.4'	(('CD', 1.0),)
'114.6'	(('CD', 1.0),)
'114.63'	(('CD', 1.0),)
'114.7'	(('CD', 1.0),)
'115'	(('CD', 1.0),)
'115,000-square-foot'	(('JJ', 1.0),)
'116'	(('CD', 1.0),)
'116,000'	(('CD', 1.0),)
'116,385,000'	(('CD', 1.0),)
'116.56'	(('CD', 1.0),)
'116.8'	(('CD', 1.0),)
'117'	(('CD', 1.0),)
'117-acre'	(('JJ', 1.0),)
'117.2'	(('CD', 1.0),)
'117.3'	(('CD', 1.0),)
'117.375'	(('CD', 1.0),)
'117.7'	(('CD', 1.0),)
'117.9'	(('CD', 1.0),)
'117.94'	(('CD', 1.0),)
'118'	(('CD', 1.0),)
'119'	(('CD', 1.0),)
'119.2'	(('CD', 1.0),)
'119.88'	(('CD', 1.0),)
'1190.43'	(('CD', 1.0),)
'1191.86'	(('CD', 1.0),)
'1199.32'	(('CD', 1.0),)
'11:08'	(('CD', 1.0),)
'11:13'	(('CD', 1.0),)
'11:15'	(('CD', 1.0),)
'11:30'	(('CD', 1.0),)
'11:54'	(('CD', 1.0),)
'11:59'	(('CD', 1.0),)
'11\\/16'	(('CD', 1.0),)
